text_probe_family,variable_id,variable,model_kind,train_accuracy,train_balanced_accuracy,train_f1,train_auroc,train_n,train_positive_rate,val_accuracy,val_balanced_accuracy,val_f1,val_auroc,val_n,val_positive_rate,test_accuracy,test_balanced_accuracy,test_f1,test_auroc,test_n,test_positive_rate,val_auroc_ci_lower,val_auroc_ci_upper,val_auroc_bootstrap_valid_samples,test_auroc_ci_lower,test_auroc_ci_upper,test_auroc_bootstrap_valid_samples
text_delta_direction_basis_to_changed,18,person_marking_and_person_hierarchy,word_tfidf,0.88125,0.8812500000000001,0.8834355828220859,0.929059375,800,0.5,0.79,0.79,0.7920792079207921,0.8238,100,0.5,0.72,0.72,0.75,0.8055999999999999,100,0.5,0.7323052876376989,0.9074827967171717,1000.0,0.7191988961038961,0.8800138055222089,1000.0
text_sentence_basis_changed,18,person_marking_and_person_hierarchy,char_tfidf,0.78625,0.78625,0.7770534550195567,0.87234375,800,0.5,0.68,0.6799999999999999,0.6981132075471698,0.7352,100,0.5,0.75,0.75,0.7368421052631579,0.79,100,0.5,,,,,,
text_delta_direction_basis_to_changed,18,person_marking_and_person_hierarchy,char_tfidf,0.795,0.795,0.7847769028871391,0.88915625,800,0.5,0.71,0.71,0.7010309278350515,0.8001999999999999,100,0.5,0.61,0.61,0.4657534246575342,0.7021999999999999,100,0.5,,,,,,
text_sentence_basis_changed,18,person_marking_and_person_hierarchy,length_punct,0.535,0.535,0.5118110236220472,0.53436875,800,0.5,0.54,0.54,0.603448275862069,0.506,100,0.5,0.47,0.47,0.5470085470085471,0.5016,100,0.5,,,,,,
text_delta_direction_basis_to_changed,18,person_marking_and_person_hierarchy,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,19,inclusive_exclusive_distinction,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.53,0.53,0.11320754716981132,0.5226000000000001,100,0.5,,,,,,
text_delta_direction_basis_to_changed,19,inclusive_exclusive_distinction,word_tfidf,0.66625,0.66625,0.7497656982193065,0.777221875,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.3790560873039045,0.6139390870041169,1000.0,0.3919567827130852,0.6070833873028334,1000.0
text_sentence_basis_changed,19,inclusive_exclusive_distinction,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.647887323943662,0.5566000000000001,100,0.5,0.54,0.54,0.603448275862069,0.6312,100,0.5,0.43937001675670273,0.6626698369565217,1000.0,0.5102565582764936,0.7388443587662338,1000.0
text_delta_direction_basis_to_changed,19,inclusive_exclusive_distinction,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,19,inclusive_exclusive_distinction,length_punct,0.51625,0.51625,0.4967490247074122,0.53036875,800,0.5,0.5,0.5,0.0,0.36079999999999995,100,0.5,0.5,0.5,0.0,0.25999999999999995,100,0.5,,,,,,
text_delta_direction_basis_to_changed,19,inclusive_exclusive_distinction,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,20,pronoun_richness_and_reduction,word_tfidf,0.98625,0.9862500000000001,0.9864364981504316,0.998165625,800,0.5,0.56,0.56,0.37142857142857144,0.6116,100,0.5,0.58,0.5800000000000001,0.4,0.6428,100,0.5,,,,,,
text_delta_direction_basis_to_changed,20,pronoun_richness_and_reduction,word_tfidf,0.85,0.85,0.8695652173913043,0.9550000000000001,800,0.5,0.5,0.5,0.32432432432432434,0.5,100,0.5,0.5,0.5,0.3055555555555556,0.5,100,0.5,0.4064614351521872,0.6030196406212002,1000.0,0.4092683661180249,0.589778286372002,1000.0
text_sentence_basis_changed,20,pronoun_richness_and_reduction,char_tfidf,0.98875,0.98875,0.9888751545117429,0.9999125,800,0.5,0.91,0.9099999999999999,0.9142857142857143,0.9808,100,0.5,0.78,0.78,0.7884615384615384,0.8316000000000001,100,0.5,0.9579070512820512,0.9958679478076699,1000.0,0.7272165347130614,0.9171818727490996,1000.0
text_delta_direction_basis_to_changed,20,pronoun_richness_and_reduction,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,20,pronoun_richness_and_reduction,length_punct,0.65125,0.65125,0.653416149068323,0.7048593750000001,800,0.5,0.53,0.53,0.4050632911392405,0.5962000000000001,100,0.5,0.56,0.56,0.47619047619047616,0.6442,100,0.5,,,,,,
text_delta_direction_basis_to_changed,20,pronoun_richness_and_reduction,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,21,possession_and_alienability,word_tfidf,0.98125,0.98125,0.9808917197452229,1.0,800,0.5,0.84,0.84,0.84,0.9006,100,0.5,0.68,0.6799999999999999,0.746031746031746,0.8464,100,0.5,0.83692343661773,0.9538107572574483,1000.0,0.7696922405325767,0.9156275279040925,1000.0
text_delta_direction_basis_to_changed,21,possession_and_alienability,word_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,21,possession_and_alienability,char_tfidf,0.915,0.915,0.9102902374670184,0.97594375,800,0.5,0.78,0.78,0.7608695652173914,0.8652000000000001,100,0.5,0.7,0.7,0.7457627118644068,0.8388,100,0.5,,,,,,
text_delta_direction_basis_to_changed,21,possession_and_alienability,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,21,possession_and_alienability,length_punct,0.57375,0.57375,0.5826193390452876,0.60281875,800,0.5,0.68,0.6799999999999999,0.6,0.6874000000000001,100,0.5,0.66,0.66,0.5405405405405406,0.6541999999999999,100,0.5,,,,,,
text_delta_direction_basis_to_changed,21,possession_and_alienability,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,22,tense_prominence,word_tfidf,0.9975,0.9975,0.9975062344139651,1.0,800,0.5,0.55,0.55,0.4827586206896552,0.5522,100,0.5,0.52,0.52,0.48936170212765956,0.5736,100,0.5,,,,,,
text_delta_direction_basis_to_changed,22,tense_prominence,word_tfidf,0.93,0.9299999999999999,0.9306930693069307,0.989865625,800,0.5,0.62,0.62,0.5128205128205128,0.704,100,0.5,0.6,0.6,0.4444444444444444,0.6799999999999999,100,0.5,,,,,,
text_sentence_basis_changed,22,tense_prominence,char_tfidf,0.9425,0.9425,0.9404145077720207,0.9926875000000001,800,0.5,0.61,0.61,0.5617977528089888,0.6646,100,0.5,0.63,0.63,0.5542168674698795,0.6684,100,0.5,0.5576755275974026,0.7636751753993133,1000.0,0.5459719910240719,0.7681401315912185,1000.0
text_delta_direction_basis_to_changed,22,tense_prominence,char_tfidf,0.795,0.7949999999999999,0.7934508816120907,0.9076187499999999,800,0.5,0.63,0.63,0.5542168674698795,0.7196,100,0.5,0.65,0.6499999999999999,0.6236559139784946,0.7458,100,0.5,0.6221974847631361,0.8147085336538462,1000.0,0.650036945729717,0.8283166119341103,1000.0
text_sentence_basis_changed,22,tense_prominence,length_punct,0.59625,0.59625,0.6122448979591837,0.651003125,800,0.5,0.58,0.5800000000000001,0.6557377049180327,0.6015999999999999,100,0.5,0.57,0.5700000000000001,0.6814814814814815,0.6148000000000001,100,0.5,,,,,,
text_delta_direction_basis_to_changed,22,tense_prominence,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,23,aspect_and_event_structure,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.6666666666666666,0.5234,100,0.5,0.46,0.46,0.6301369863013698,0.444,100,0.5,,,,,,
text_delta_direction_basis_to_changed,23,aspect_and_event_structure,word_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,23,aspect_and_event_structure,char_tfidf,0.875,0.875,0.8792270531400966,0.9541125,800,0.5,0.54,0.54,0.684931506849315,0.6063999999999999,100,0.5,0.37,0.37,0.47058823529411764,0.33920000000000006,100,0.5,0.4895128824476651,0.7192309513403263,1000.0,0.23199355365157082,0.4520920719809566,1000.0
text_delta_direction_basis_to_changed,23,aspect_and_event_structure,char_tfidf,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,23,aspect_and_event_structure,length_punct,0.5725,0.5725,0.583941605839416,0.5929125,800,0.5,0.5,0.5,0.6666666666666666,0.5838000000000001,100,0.5,0.5,0.5,0.6666666666666666,0.47140000000000004,100,0.5,,,,,,
text_delta_direction_basis_to_changed,23,aspect_and_event_structure,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,24,modality_and_mood,word_tfidf,0.88875,0.8887499999999999,0.8748241912798875,0.94236875,800,0.5,0.5,0.5,0.5370370370370371,0.509,100,0.5,0.5,0.5,0.1935483870967742,0.49119999999999997,100,0.5,,,,,,
text_delta_direction_basis_to_changed,24,modality_and_mood,word_tfidf,0.5125,0.5125,0.04878048780487805,0.5246875,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.3892638290229885,0.6111194477791115,1000.0,0.3943140645586298,0.610394048016447,1000.0
text_sentence_basis_changed,24,modality_and_mood,char_tfidf,0.865,0.865,0.8439306358381503,0.93001875,800,0.5,0.56,0.56,0.3333333333333333,0.6032,100,0.5,0.59,0.59,0.5060240963855421,0.6255999999999999,100,0.5,,,,,,
text_delta_direction_basis_to_changed,24,modality_and_mood,char_tfidf,0.5125,0.5125,0.6722689075630253,0.5246875,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.5,0.5,0.6666666666666666,0.502,100,0.5,,,,,,
text_sentence_basis_changed,24,modality_and_mood,length_punct,0.59375,0.59375,0.5376955903271693,0.667084375,800,0.5,0.5,0.5,0.6666666666666666,0.7541999999999999,100,0.5,0.5,0.5,0.6666666666666666,0.535,100,0.5,0.659203681472589,0.8478006521739131,1000.0,0.4325162677499634,0.6448759134615384,1000.0
text_delta_direction_basis_to_changed,24,modality_and_mood,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,25,epistemic_modality,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.53,0.53,0.43373493975903615,0.5209999999999999,100,0.5,0.56,0.56,0.2413793103448276,0.6315999999999999,100,0.5,,,,,,
text_delta_direction_basis_to_changed,25,epistemic_modality,word_tfidf,0.67,0.67,0.7518796992481203,0.7822,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.58,0.58,0.704225352112676,0.6472,100,0.5,0.3851865458937198,0.6142478488980133,1000.0,0.5367964663461537,0.754042371392542,1000.0
text_sentence_basis_changed,25,epistemic_modality,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.43,0.43,0.03389830508474576,0.45439999999999997,100,0.5,0.43,0.43,0.12307692307692308,0.4288,100,0.5,,,,,,
text_delta_direction_basis_to_changed,25,epistemic_modality,char_tfidf,0.655,0.655,0.7406015037593985,0.761775,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.58,0.58,0.704225352112676,0.6472,100,0.5,,,,,,
text_sentence_basis_changed,25,epistemic_modality,length_punct,0.57375,0.57375,0.5836385836385837,0.61499375,800,0.5,0.58,0.5800000000000001,0.6181818181818182,0.619,100,0.5,0.55,0.55,0.6715328467153284,0.6599999999999999,100,0.5,0.5077854756929108,0.7345935864533011,1000.0,0.5453614912280701,0.7694345738408271,1000.0
text_delta_direction_basis_to_changed,25,epistemic_modality,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,26,evidentiality,word_tfidf,0.97125,0.97125,0.9708491761723701,0.99884375,800,0.5,0.44,0.44,0.40425531914893614,0.5468,100,0.5,0.18,0.18,0.14583333333333334,0.11019999999999998,100,0.5,,,,,,
text_delta_direction_basis_to_changed,26,evidentiality,word_tfidf,0.93375,0.9337500000000001,0.9368295589988082,0.991303125,800,0.5,0.7,0.7,0.625,0.7172000000000001,100,0.5,0.47,0.47000000000000003,0.2318840579710145,0.44099999999999995,100,0.5,,,,,,
text_sentence_basis_changed,26,evidentiality,char_tfidf,0.96875,0.96875,0.9683944374209861,0.997825,800,0.5,0.5,0.5,0.4186046511627907,0.6112,100,0.5,0.18,0.18,0.16326530612244897,0.10560000000000001,100,0.5,0.4845670468882783,0.7291016406562626,1000.0,0.050470802545156006,0.17350228345648602,1000.0
text_delta_direction_basis_to_changed,26,evidentiality,char_tfidf,0.92625,0.92625,0.9257861635220126,0.988159375,800,0.5,0.75,0.75,0.6666666666666666,0.7658,100,0.5,0.52,0.52,0.14285714285714285,0.4866,100,0.5,0.6648099143206855,0.8578301522468061,1000.0,0.37286476408745317,0.5985681249999999,1000.0
text_sentence_basis_changed,26,evidentiality,length_punct,0.89625,0.89625,0.8903566710700133,0.97023125,800,0.5,0.75,0.75,0.8,0.5738,100,0.5,0.49,0.49,0.6106870229007634,0.29799999999999993,100,0.5,,,,,,
text_delta_direction_basis_to_changed,26,evidentiality,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,27,mirativity_stance_and_affect_marking,word_tfidf,0.83375,0.83375,0.800599700149925,1.0,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_delta_direction_basis_to_changed,27,mirativity_stance_and_affect_marking,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,27,mirativity_stance_and_affect_marking,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.83,0.8300000000000001,0.7951807228915663,0.9904,100,0.5,0.64,0.64,0.4375,0.982,100,0.5,,,,,,
text_delta_direction_basis_to_changed,27,mirativity_stance_and_affect_marking,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.84,0.8400000000000001,0.8620689655172413,0.98,100,0.5,0.88,0.88,0.8928571428571429,0.9528,100,0.5,0.9548415932726277,0.9967886954059023,1000.0,0.901354376978064,0.9903935185185185,1000.0
text_sentence_basis_changed,27,mirativity_stance_and_affect_marking,length_punct,0.85375,0.85375,0.8564417177914111,0.95794375,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.73,0.73,0.7216494845360825,0.8518,100,0.5,1.0,1.0,1000.0,0.7790580232558139,0.9186711052955665,1000.0
text_delta_direction_basis_to_changed,27,mirativity_stance_and_affect_marking,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,28,negation_and_polarity_structure,word_tfidf,0.9875,0.9875,0.9876543209876543,0.9999562500000001,800,0.5,0.59,0.59,0.6371681415929203,0.6781999999999999,100,0.5,0.78,0.78,0.8135593220338984,0.8560000000000001,100,0.5,0.564033143939394,0.7824763585400204,1000.0,0.772909655448718,0.9202022463768116,1000.0
text_delta_direction_basis_to_changed,28,negation_and_polarity_structure,word_tfidf,0.75,0.75,0.7963340122199593,0.875,800,0.5,0.5,0.5,0.6268656716417911,0.49000000000000005,100,0.5,0.58,0.58,0.704225352112676,0.751,100,0.5,,,,,,
text_sentence_basis_changed,28,negation_and_polarity_structure,char_tfidf,0.97625,0.9762500000000001,0.976629766297663,0.9969750000000001,800,0.5,0.64,0.64,0.6470588235294118,0.6352,100,0.5,0.7,0.7,0.7222222222222222,0.7376,100,0.5,,,,,,
text_delta_direction_basis_to_changed,28,negation_and_polarity_structure,char_tfidf,0.735,0.735,0.7710583153347732,0.8529562500000001,800,0.5,0.5,0.5,0.6031746031746031,0.47919999999999996,100,0.5,0.74,0.74,0.7758620689655172,0.861,100,0.5,,,,,,
text_sentence_basis_changed,28,negation_and_polarity_structure,length_punct,0.60125,0.60125,0.4896,0.6463218749999999,800,0.5,0.58,0.58,0.4473684210526316,0.6132,100,0.5,0.59,0.59,0.3050847457627119,0.5579999999999999,100,0.5,,,,,,
text_delta_direction_basis_to_changed,28,negation_and_polarity_structure,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,29,quantifier_scope_and_distributivity,word_tfidf,0.99625,0.9962500000000001,0.9962640099626401,1.0,800,0.5,0.71,0.71,0.6813186813186813,0.816,100,0.5,0.63,0.63,0.4931506849315068,0.736,100,0.5,,,,,,
text_delta_direction_basis_to_changed,29,quantifier_scope_and_distributivity,word_tfidf,0.87375,0.87375,0.8729559748427673,0.962946875,800,0.5,0.66,0.66,0.6136363636363636,0.7299999999999999,100,0.5,0.58,0.5800000000000001,0.4878048780487805,0.6472,100,0.5,,,,,,
text_sentence_basis_changed,29,quantifier_scope_and_distributivity,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.72,0.72,0.7777777777777778,0.8512,100,0.5,0.76,0.76,0.7333333333333333,0.8535999999999999,100,0.5,0.7674769907963186,0.9223773567397974,1000.0,0.7727418707346447,0.9165272537954818,1000.0
text_delta_direction_basis_to_changed,29,quantifier_scope_and_distributivity,char_tfidf,0.87375,0.87375,0.8683181225554107,0.966634375,800,0.5,0.66,0.6599999999999999,0.5952380952380952,0.7435999999999999,100,0.5,0.58,0.58,0.27586206896551724,0.6472,100,0.5,0.6516408137077294,0.8304391074611662,1000.0,0.5376320378362104,0.7523490870162889,1000.0
text_sentence_basis_changed,29,quantifier_scope_and_distributivity,length_punct,0.57,0.5700000000000001,0.5904761904761905,0.60920625,800,0.5,0.56,0.56,0.5,0.5594,100,0.5,0.56,0.56,0.3888888888888889,0.5842,100,0.5,,,,,,
text_delta_direction_basis_to_changed,29,quantifier_scope_and_distributivity,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,30,conditional_and_counterfactual_marking,word_tfidf,0.90625,0.90625,0.9022164276401564,0.9754499999999999,800,0.5,0.5,0.5,0.0,0.49000000000000005,100,0.5,0.75,0.75,0.6666666666666666,0.868,100,0.5,,,,,,
text_delta_direction_basis_to_changed,30,conditional_and_counterfactual_marking,word_tfidf,0.775,0.775,0.7686375321336761,0.8924406250000001,800,0.5,0.3,0.3,0.33962264150943394,0.18,100,0.5,0.55,0.55,0.5263157894736842,0.439,100,0.5,,,,,,
text_sentence_basis_changed,30,conditional_and_counterfactual_marking,char_tfidf,0.86,0.86,0.8564102564102564,0.951925,800,0.5,0.5,0.5,0.0,0.4628,100,0.5,0.75,0.75,0.6666666666666666,0.8696,100,0.5,,,,,,
text_delta_direction_basis_to_changed,30,conditional_and_counterfactual_marking,char_tfidf,0.6775,0.6775,0.6742424242424242,0.7855687499999999,800,0.5,0.3,0.30000000000000004,0.2708333333333333,0.186,100,0.5,0.54,0.54,0.5306122448979592,0.43320000000000003,100,0.5,,,,,,
text_sentence_basis_changed,30,conditional_and_counterfactual_marking,length_punct,0.64875,0.6487499999999999,0.6509316770186335,0.706421875,800,0.5,0.65,0.65,0.6067415730337079,0.8046000000000001,100,0.5,0.48,0.48,0.037037037037037035,0.5808,100,0.5,0.71265386002886,0.8794568957676449,1000.0,0.46437575030012007,0.6982801467855816,1000.0
text_delta_direction_basis_to_changed,30,conditional_and_counterfactual_marking,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,31,subordination_and_embedding,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.25,0.25,0.4,0.5,100,0.5,0.9999999999999999,1.0,1000.0,0.36363636363636365,0.6415431266846361,1000.0
text_delta_direction_basis_to_changed,31,subordination_and_embedding,word_tfidf,0.6675,0.6675,0.7504690431519699,0.7788875000000001,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.389581392573087,0.6100422528860029,1000.0,0.3928473964139726,0.6118617507609104,1000.0
text_sentence_basis_changed,31,subordination_and_embedding,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,0.9999999999999999,100,0.5,0.25,0.25,0.4,0.4928,100,0.5,,,,,,
text_delta_direction_basis_to_changed,31,subordination_and_embedding,char_tfidf,0.6675,0.6675,0.7504690431519699,0.7788875,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,,,,,,
text_sentence_basis_changed,31,subordination_and_embedding,length_punct,0.66375,0.6637500000000001,0.6633291614518148,0.738525,800,0.5,0.75,0.75,0.8,0.7608,100,0.5,0.5,0.5,0.5,0.5230000000000001,100,0.5,,,,,,
text_delta_direction_basis_to_changed,31,subordination_and_embedding,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,32,quotation_and_reported_speech_structure,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.82,0.8200000000000001,0.847457627118644,0.9352,100,0.5,0.83,0.8300000000000001,0.8547008547008547,0.9421999999999999,100,0.5,0.8988358089120835,0.9661468493647459,1000.0,0.9074671422327673,0.9694030612244897,1000.0
text_delta_direction_basis_to_changed,32,quotation_and_reported_speech_structure,word_tfidf,0.7,0.7,0.6190476190476191,0.82,800,0.5,0.74,0.74,0.6578947368421053,0.8304,100,0.5,0.5,0.5,0.40476190476190477,0.5,100,0.5,0.7552724381603303,0.8912355307735743,1000.0,0.38735288660918915,0.61459375,1000.0
text_sentence_basis_changed,32,quotation_and_reported_speech_structure,char_tfidf,0.99875,0.99875,0.9987515605493134,0.9997625,800,0.5,0.81,0.81,0.7710843373493976,0.8792,100,0.5,0.98,0.98,0.9803921568627451,0.9972,100,0.5,,,,,,
text_delta_direction_basis_to_changed,32,quotation_and_reported_speech_structure,char_tfidf,0.8375,0.8374999999999999,0.8179271708683473,0.9402625000000001,800,0.5,0.75,0.75,0.7747747747747747,0.704,100,0.5,0.75,0.75,0.7572815533980582,0.8220000000000001,100,0.5,,,,,,
text_sentence_basis_changed,32,quotation_and_reported_speech_structure,length_punct,0.805,0.8049999999999999,0.7963446475195822,0.91735,800,0.5,0.73,0.73,0.7096774193548387,0.8574,100,0.5,0.89,0.89,0.9009009009009009,0.9758,100,0.5,,,,,,
text_delta_direction_basis_to_changed,32,quotation_and_reported_speech_structure,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,33,discourse_relation_marking,word_tfidf,0.92875,0.92875,0.9232839838492598,0.9945875,800,0.5,0.49,0.49,0.5641025641025641,0.4758,100,0.5,0.67,0.6699999999999999,0.7441860465116279,0.4484,100,0.5,,,,,,
text_delta_direction_basis_to_changed,33,discourse_relation_marking,word_tfidf,0.665,0.665,0.6616161616161617,0.7802374999999999,800,0.5,0.42,0.42,0.12121212121212122,0.32899999999999996,100,0.5,0.5,0.5,0.358974358974359,0.507,100,0.5,,,,,,
text_sentence_basis_changed,33,discourse_relation_marking,char_tfidf,0.9,0.8999999999999999,0.8907103825136612,0.9843,800,0.5,0.54,0.54,0.43902439024390244,0.5356000000000001,100,0.5,0.55,0.55,0.628099173553719,0.4356,100,0.5,,,,,,
text_delta_direction_basis_to_changed,33,discourse_relation_marking,char_tfidf,0.665,0.665,0.6832151300236406,0.77211875,800,0.5,0.41,0.41000000000000003,0.3218390804597701,0.345,100,0.5,0.54,0.54,0.4772727272727273,0.4724,100,0.5,,,,,,
text_sentence_basis_changed,33,discourse_relation_marking,length_punct,0.69125,0.6912499999999999,0.6754270696452037,0.771346875,800,0.5,0.58,0.58,0.3,0.6204,100,0.5,0.22,0.22,0.025,0.046400000000000004,100,0.5,0.5081601745058102,0.7392961588191352,1000.0,0.015619926948051952,0.08363643781758837,1000.0
text_delta_direction_basis_to_changed,33,discourse_relation_marking,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,1000.0,0.5,0.5,1000.0
text_sentence_basis_changed,34,topic_comment_structure,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.51,0.51,0.6711409395973155,0.51,100,0.5,,,,,,
text_delta_direction_basis_to_changed,34,topic_comment_structure,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,0.5,0.5,0.6666666666666666,0.5,100,0.5,,,,,,
text_sentence_basis_changed,34,topic_comment_structure,char_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.69,0.69,0.7350427350427351,0.7398,100,0.5,0.63,0.63,0.4788732394366197,0.7604,100,0.5,0.6329230015936158,0.8434027034101997,1000.0,0.6650410628019323,0.8504028910024154,1000.0
text_delta_direction_basis_to_changed,34,topic_comment_structure,char_tfidf,0.66625,0.66625,0.49906191369606,0.777221875,800,0.5,0.59,0.59,0.3050847457627119,0.6638000000000001,100,0.5,0.54,0.54,0.25806451612903225,0.5784,100,0.5,0.5510692398885989,0.7679178417211203,1000.0,0.46642234243275804,0.6841582487363768,1000.0
text_sentence_basis_changed,34,topic_comment_structure,length_punct,0.5875,0.5875,0.6224256292906178,0.600640625,800,0.5,0.58,0.5800000000000001,0.6037735849056604,0.6218,100,0.5,0.58,0.58,0.27586206896551724,0.41960000000000003,100,0.5,,,,,,
text_delta_direction_basis_to_changed,34,topic_comment_structure,length_punct,0.5,0.5,0.0,0.5,800,0.5,0.5,0.5,0.0,0.5,100,0.5,0.5,0.5,0.0,0.5,100,0.5,,,,,,
text_sentence_basis_changed,35,focus_and_given_new_marking,word_tfidf,1.0,1.0,1.0,1.0,800,0.5,0.5,0.5,0.0,0.49400000000000005,100,0.5,0.5,0.5,0.0,0.48960000000000004,100,0.5,,,,,,
